2022-06-28 15:06:120 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 19:06:672 INFO  BookSectionPage :38 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (a05de9a15dce64fe62a3e47119f48aac)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 19:06:836 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 19:06:718 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (1f186830f6c97dee3f3a2146f95f1d99)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 19:06:426 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (1f186830f6c97dee3f3a2146f95f1d99)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 19:06:273 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (1f186830f6c97dee3f3a2146f95f1d99)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 19:06:533 INFO  BookSectionPage :38 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (1f186830f6c97dee3f3a2146f95f1d99)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 19:06:971 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 19:06:229 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (8ddd2489cd0f52469b14cd2220556acd)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 19:06:940 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (8ddd2489cd0f52469b14cd2220556acd)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 19:06:644 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (8ddd2489cd0f52469b14cd2220556acd)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 19:06:709 INFO  BookSectionPage :38 - Verifying this book dispalyed first in the list Proxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]'
2022-06-28 21:06:795 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 21:06:481 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (40c4afbfd14fb1a6a87262d0e3f1d9fb)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 21:06:110 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (40c4afbfd14fb1a6a87262d0e3f1d9fb)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 21:06:842 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (40c4afbfd14fb1a6a87262d0e3f1d9fb)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 21:06:482 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (40c4afbfd14fb1a6a87262d0e3f1d9fb)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 21:06:207 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 21:06:25 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (1a07752c4ad796637e96165ec67488e3)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 21:06:866 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (1a07752c4ad796637e96165ec67488e3)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 21:06:558 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (1a07752c4ad796637e96165ec67488e3)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 21:06:867 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (1a07752c4ad796637e96165ec67488e3)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 22:06:212 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:395 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (cac0733ea3b38bd4ee6a1ec51a4dea69)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 22:06:62 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (cac0733ea3b38bd4ee6a1ec51a4dea69)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 22:06:818 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (cac0733ea3b38bd4ee6a1ec51a4dea69)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 22:06:496 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (cac0733ea3b38bd4ee6a1ec51a4dea69)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 22:06:402 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:622 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (cea0a4cfb7e65718f63f511187d5a888)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 22:06:285 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (cea0a4cfb7e65718f63f511187d5a888)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 22:06:65 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (cea0a4cfb7e65718f63f511187d5a888)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 22:06:97 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (cea0a4cfb7e65718f63f511187d5a888)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 22:06:369 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:598 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (dcbce05b50be843181d2dea6f0a2cedd)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 22:06:258 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (dcbce05b50be843181d2dea6f0a2cedd)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 22:06:332 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (dcbce05b50be843181d2dea6f0a2cedd)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 22:06:683 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (dcbce05b50be843181d2dea6f0a2cedd)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 22:06:596 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:654 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (55b854382e885f8c6603a9e4bbac6d01)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 22:06:325 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (55b854382e885f8c6603a9e4bbac6d01)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 22:06:876 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (55b854382e885f8c6603a9e4bbac6d01)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 22:06:911 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (55b854382e885f8c6603a9e4bbac6d01)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 22:06:977 INFO  BookSectionPage :49 - Verifying this book dispalyed Bestseller badge  Proxy element for: DefaultElementLocator 'By.xpath:  //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/div[1]/span[1]/span[1]/span[1]'
2022-06-28 22:06:896 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:584 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:322 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (d369f662cb456c6aecfd025ca218d2aa)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 22:06:978 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (d369f662cb456c6aecfd025ca218d2aa)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 22:06:545 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (d369f662cb456c6aecfd025ca218d2aa)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 22:06:906 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (d369f662cb456c6aecfd025ca218d2aa)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 22:06:171 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:752 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (ea1c9c447da4a3fa8d2bd85f337e1e91)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 22:06:371 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (ea1c9c447da4a3fa8d2bd85f337e1e91)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 22:06:37 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (ea1c9c447da4a3fa8d2bd85f337e1e91)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 22:06:76 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (ea1c9c447da4a3fa8d2bd85f337e1e91)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 22:06:511 INFO  BookSectionPage :49 - Verifying this book dispalyed Bestseller badge  Proxy element for: DefaultElementLocator 'By.xpath:  //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/div[1]/span[1]/span[1]/span[1]'
2022-06-28 22:06:475 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:939 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (926aca77ae8a186f77e52a676d0e79f2)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 22:06:533 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (926aca77ae8a186f77e52a676d0e79f2)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 22:06:219 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (926aca77ae8a186f77e52a676d0e79f2)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 22:06:587 INFO  BookSectionPage :44 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (926aca77ae8a186f77e52a676d0e79f2)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 22:06:705 INFO  BookSectionPage :49 - Verifying this book dispalyed Bestseller badge  [[ChromeDriver: chrome on WINDOWS (926aca77ae8a186f77e52a676d0e79f2)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/div[1]/span[1]/span[1]]
2022-06-28 22:06:830 INFO  BookSectionPage :54 - Verifying this book dispalyed Bestseller badge  Proxy element for: DefaultElementLocator 'By.xpath:  //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[1]/a[1]'
2022-06-28 22:06:295 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 22:06:289 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (d99424274d0ac2f0754b90ef7c658e28)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 22:06:970 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (d99424274d0ac2f0754b90ef7c658e28)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 22:06:784 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (d99424274d0ac2f0754b90ef7c658e28)] -> xpath: //input[@id='nav-search-submit-button']]
